density,vertex_count,k,dijkstra_median_ms,fwr_median_ms,dijkstra_stddev_ms,fwr_stddev_ms
1.00,250,12,4.5280,7.0997,0.2951,0.3659
1.00,250,25,8.9500,7.4222,0.7251,0.5782
1.00,250,50,17.1223,6.7668,0.6227,0.3819
1.00,250,75,25.5500,7.2453,0.6968,1.5561
1.00,250,100,33.5891,6.8996,0.5679,0.8162
1.00,250,125,42.0139,7.3047,0.6362,0.7773
1.00,250,150,51.1202,7.1853,0.9267,0.8560
1.00,250,200,67.3174,7.1881,1.2703,0.7571
1.00,250,250,84.2219,7.0796,1.0935,0.5711
1.00,275,2,1.1111,9.8668,0.0948,0.6867
1.00,275,13,5.7641,9.8223,0.2847,1.3905
1.00,275,27,11.3947,9.5420,0.5501,0.6419
1.00,275,55,23.1744,9.4438,0.7173,1.0447
1.00,275,82,34.0057,9.6691,0.6715,1.1424
1.00,275,110,45.6044,9.8662,0.6143,0.7006
1.00,275,137,56.6759,9.7658,0.9636,0.7503
1.00,275,165,69.2347,9.1546,1.0919,0.6863
1.00,275,220,90.3637,9.0751,2.3131,0.7281
1.00,275,275,113.5151,9.7590,1.9334,1.6020
1.00,300,3,2.0361,12.4596,0.1668,0.6130
1.00,300,15,8.2870,11.7974,0.3089,1.1897
1.00,300,30,15.3497,12.2888,0.6234,0.3895
1.00,300,60,30.3498,12.0373,0.6981,1.4675
1.00,300,90,45.4794,12.4745,0.9309,0.9186
1.00,300,120,60.0461,12.7653,1.7228,0.7114
1.00,300,150,75.6624,12.0879,1.2691,0.8343
1.00,300,180,89.7081,12.3318,1.5348,1.3488
1.00,300,240,119.8855,12.4364,1.1116,1.3452
1.00,300,300,149.0381,12.2632,1.1145,1.7594
1.00,325,3,2.6816,16.1345,0.2660,0.7477
1.00,325,16,10.3681,15.9495,0.5196,0.7042
1.00,325,32,20.6129,15.5035,0.9448,0.8899
1.00,325,65,39.9363,15.6255,0.9864,0.7611
1.00,325,97,59.2624,15.1161,1.3338,2.0954
1.00,325,130,79.3218,15.2379,1.4042,1.3701
1.00,325,162,97.9751,15.3405,1.2626,0.7415
1.00,325,195,117.7296,15.4368,1.1679,0.9480
1.00,325,260,156.4803,15.7384,2.3625,1.0079
1.00,325,325,195.1603,14.9626,2.2034,0.3443
1.00,350,3,3.4519,19.2928,0.3661,0.4152
1.00,350,17,15.4349,19.6656,0.5629,0.9485
1.00,350,35,30.5001,19.5786,1.7450,0.8840
1.00,350,70,59.9350,18.8760,1.1276,1.0849
1.00,350,105,88.3664,19.2056,1.5207,1.0319
1.00,350,140,117.7677,19.4471,1.6032,1.2975
1.00,350,175,146.6234,20.1819,1.2191,1.3922
1.00,350,210,176.0651,19.1483,0.7601,1.8227
1.00,350,280,234.1694,19.5848,1.7747,0.7773
1.00,350,350,292.6137,20.1575,2.1257,0.6372
1.00,375,3,4.5442,23.1107,0.4974,0.8509
1.00,375,18,21.4826,23.5093,0.6503,1.3965
1.00,375,37,42.6651,23.1023,0.8300,0.5749
1.00,375,75,84.5937,23.7597,0.9067,1.3001
1.00,375,112,124.7529,22.6998,3.5923,0.8892
1.00,375,150,167.8802,22.9188,1.5767,0.9877
1.00,375,187,208.2464,23.2787,1.8280,1.5407
1.00,375,225,252.0056,22.9193,1.7323,1.4387
1.00,375,300,333.2689,22.5777,2.5005,0.8839
1.00,375,375,416.0001,22.7690,2.7848,1.0633
1.00,400,4,6.8482,28.0812,0.7905,1.3143
1.00,400,20,29.8501,28.0850,0.6645,1.5640
1.00,400,40,58.0128,27.4365,1.3764,1.2716
1.00,400,80,114.1603,27.8356,1.3651,0.9944
1.00,400,120,170.3201,27.6485,2.3527,0.6096
1.00,400,160,225.6013,27.9080,1.6085,0.9577
1.00,400,200,278.7534,27.9679,2.0103,0.9630
1.00,400,240,332.4214,27.7447,0.8849,1.0592
1.00,400,320,443.0697,27.6546,1.6886,0.5796
1.00,400,400,551.6040,27.4169,0.8193,0.7388
1.00,425,4,8.3130,32.8610,0.5499,0.9304
1.00,425,21,36.8781,32.6637,1.0889,1.0886
1.00,425,42,72.4711,32.7417,1.4853,2.4808
1.00,425,85,144.9603,33.1178,1.7006,1.0509
1.00,425,127,216.7814,32.9476,1.9843,1.6938
1.00,425,170,287.1766,32.7701,3.7558,1.3558
1.00,425,212,357.6377,32.4416,1.5359,0.7989
1.00,425,255,427.7814,33.1492,2.6213,0.7490
1.00,425,340,570.6696,32.3389,5.7665,1.1629
1.00,425,425,711.7441,32.9258,22.9817,1.7053
1.00,450,4,10.7211,40.6758,0.5520,2.3032
1.00,450,22,46.5994,40.7038,1.2549,1.5910
1.00,450,45,94.4749,41.5725,1.4348,1.9781
1.00,450,90,186.3622,41.9823,3.0473,3.3382
1.00,450,135,270.2202,41.8487,2.3622,1.4623
1.00,450,180,362.2005,39.4363,4.1901,1.5711
1.00,450,225,447.2505,38.6313,1.7982,1.3382
1.00,450,270,535.6430,39.1315,1.9677,1.1644
1.00,450,360,850.7269,44.9527,58.0162,2.8388
1.00,450,450,1129.7803,46.8985,65.2988,1.1157
1.00,475,4,14.0022,54.3093,1.2227,2.6318
1.00,475,23,70.0700,51.6558,2.7238,2.6210
1.00,475,47,137.5785,56.5959,8.1586,2.3806
1.00,475,95,228.9416,53.8222,7.9599,4.1255
1.00,475,142,336.2375,52.7973,1.4622,2.3377
1.00,475,190,451.4044,50.5242,5.0422,2.5188
1.00,475,237,562.1977,53.0999,4.3947,1.8585
1.00,475,285,665.1591,48.7778,2.2504,0.8140
1.00,475,380,894.5640,48.6556,10.4451,4.3052
1.00,475,475,1106.4491,47.1225,2.9106,1.3713
1.00,500,5,15.1033,54.7994,0.5247,1.5447
1.00,500,25,69.2418,54.8701,0.9375,0.8518
1.00,500,50,137.1404,54.5123,1.4287,1.5533
1.00,500,100,270.6053,54.6002,1.4679,1.9257
1.00,500,150,405.3080,53.9555,1.6590,0.9344
1.00,500,200,539.5621,55.4338,5.4876,2.2752
1.00,500,250,679.0562,55.2289,3.9889,0.6860
1.00,500,300,818.0777,55.6506,4.2959,1.4330
1.00,500,400,1086.2739,55.0667,2.2728,1.1948
1.00,500,500,1355.8151,54.3649,2.8145,1.3048
